"Story","Title","Result","Date","Stability","Duration (s)"
"As user I want to test index page hello","GET HELLO  want to test hello index page","SUCCESS","2023-05-08T09:50:55.6256141+07:00[Asia/Jakarta]","0.0","9.62"
"As user i want to test order on website","POST ORDER I want to make a new order","SUCCESS","2023-05-08T09:51:05.2921729+07:00[Asia/Jakarta]","0.0","1.84"
