"Story","Title","Result","Date","Stability","Duration (s)"
"As user I want to test index page hello","GET HELLO  want to test hello index page","SUCCESS","2023-05-08T09:50:55.6256141+07:00[Asia/Jakarta]","0.0","9.62"
"As user i want to test order on website","POST ORDER I want to make a new order","SUCCESS","2023-05-08T09:51:05.2921729+07:00[Asia/Jakarta]","0.0","1.84"
"As user i want to test order on website","GET - As a user I want to list all my order","SUCCESS","2023-05-08T09:51:07.1658289+07:00[Asia/Jakarta]","0.0","0.63"
"Product Data","POST PRODUCT create a new product","SUCCESS","2023-05-08T09:51:07.8262394+07:00[Asia/Jakarta]","0.0","0.26"
"Product Data","GET - As a user I want to get all product","SUCCESS","2023-05-08T09:51:08.1510095+07:00[Asia/Jakarta]","0.0","0.99"
"Product Data","DELETE PRODUCT I want to delete a product","SUCCESS","2023-05-08T09:51:09.1574256+07:00[Asia/Jakarta]","0.0","0.29"
"Product Data","GET  want to see product comments","SUCCESS","2023-05-08T09:51:09.4726066+07:00[Asia/Jakarta]","0.0","0.88"
