"Story","Title","Result","Date","Stability","Duration (s)"
"As user i want to test order on website","POST ORDER I want to make a new order","SUCCESS","2023-05-08T09:51:05.2921729+07:00[Asia/Jakarta]","0.0","1.84"
"As user i want to test order on website","GET - As a user I want to list all my order","SUCCESS","2023-05-08T09:51:07.1658289+07:00[Asia/Jakarta]","0.0","0.63"
